"decile","exposure","predicted","actual"
1,7157.65278239389,27.3737177861661,242.091950068086
2,7157.59,57.1198549134173,214.316747676243
3,7157.86,75.491099036857,176.124139058322
4,7158.18,89.1324936490804,87.3121980726945
5,7157.29,100.949980784685,77.1738311567646
6,7157.4,111.541924244305,77.4918517897561
7,7158.19,123.714997833048,647.041613871663
8,7158.35,138.270142591861,84.5416080521349
9,7157.63,162.017658347716,133.852509839151
10,7158.11,281.468499700812,251.099466199877
